Complaint ID,Date received,Product,Sub-product,Issue,Sub-issue,Company,State,Submitted via,Date sent to company,Company response to consumer,Timely response?,Rating
11092096,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,NY,Web,12/10/2024,In progress,Yes,3
11092099,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",NY,Web,12/10/2024,In progress,Yes,2
11092100,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"EQUIFAX, INC.",FL,Web,12/10/2024,In progress,Yes,3
11092101,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Problem with personal statement of dispute,"EQUIFAX, INC.",CA,Web,12/10/2024,In progress,Yes,3
11092102,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,Web,12/10/2024,In progress,Yes,5
11092104,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",PA,Web,12/10/2024,In progress,Yes,4
11092105,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",FL,Web,12/10/2024,In progress,Yes,2
11092114,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",IL,Web,12/10/2024,In progress,Yes,3
11092116,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,Web,12/10/2024,In progress,Yes,1
11092118,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Problem with personal statement of dispute,"EQUIFAX, INC.",SC,Web,12/10/2024,In progress,Yes,2
10568621,10/24/2024,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"CITIBANK, N.A.",IL,Web,11/25/2024,Closed with monetary relief,Yes,5
10904044,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,3
11092121,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,Web,12/10/2024,In progress,Yes,2
11092133,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,Web,12/10/2024,In progress,Yes,4
11092140,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,NC,Web,12/10/2024,In progress,Yes,2
11092073,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,Web,12/10/2024,In progress,Yes,3
11092075,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WA,Web,12/10/2024,In progress,Yes,4
10903641,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes,2
10901411,11/22/2024,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt is not yours,"Spring Oaks Capital, LLC",VA,Web,11/22/2024,Closed with explanation,Yes,4
10902059,11/22/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"ID Analytics, Inc.",FL,Web,11/22/2024,Closed with non-monetary relief,Yes,5
10872982,11/20/2024,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,Experian Information Solutions Inc.,AL,Web,11/20/2024,In progress,Yes,3
10904048,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes,2
10904000,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes,4
10904005,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,GA,Web,11/23/2024,In progress,Yes,3
10903634,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Other problem getting your report or credit score,"CrossCheck, Inc.",TX,Web,11/23/2024,Closed with explanation,Yes,3
10873022,11/20/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CA,Web,11/20/2024,In progress,Yes,3
10873024,11/20/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,LA,Web,11/20/2024,In progress,Yes,3
10856497,11/20/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,NY,Web,11/20/2024,In progress,Yes,2
10847806,11/19/2024,Debt collection,Other debt,Attempts to collect debt not owed,Debt is not yours,"FAIR COLLECTIONS & OUTSOURCING, INC.",MD,Web,11/19/2024,In progress,Yes,5
10903683,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,PR,Web,11/23/2024,In progress,Yes,4
10903723,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,OK,Web,11/23/2024,In progress,Yes,4
10903703,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Problem getting your free annual credit report,"CrossCheck, Inc.",NY,Web,11/23/2024,Closed with explanation,Yes,2
10903704,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,4
10904007,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,CA,Web,11/23/2024,In progress,Yes,5
10903705,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Old information reappears or never goes away,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,2
10903714,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Problem getting your free annual credit report,MicroBilt / PRBC (formerly CL Verify),NY,Web,11/23/2024,Closed with explanation,Yes,3
10904337,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,TX,Web,11/23/2024,In progress,Yes,5
10904351,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,AL,Web,11/23/2024,In progress,Yes,5
11092043,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AZ,Web,12/10/2024,In progress,Yes,2
11092045,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,Web,12/10/2024,In progress,Yes,2
10903709,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,CT,Web,11/23/2024,In progress,Yes,4
10904352,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,GA,Web,11/23/2024,In progress,Yes,3
10904356,11/23/2024,Debt collection,I do not know,Attempts to collect debt not owed,Debt was paid,Self Financial Inc.,VT,Web,11/25/2024,Closed with explanation,Yes,2
10904357,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,GA,Web,11/23/2024,In progress,Yes,3
10904359,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes,5
10904383,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,Experian Information Solutions Inc.,TN,Web,11/23/2024,In progress,Yes,2
10904389,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,NY,Web,11/23/2024,In progress,Yes,5
10904405,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Personal information incorrect,CORELOGIC INC,MS,Web,11/23/2024,Closed with explanation,Yes,3
11092047,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",FL,Web,12/10/2024,In progress,Yes,4
11092048,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Web,12/10/2024,In progress,Yes,3
11092049,12/10/2024,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,Web,12/10/2024,In progress,Yes,3
10903694,11/23/2024,Credit reporting or other personal consumer reports,Credit reporting,Unable to get your credit report or credit score,Other problem getting your report or credit score,"Early Warning Services, LLC",TX,Web,11/23/2024,Closed with explanation,Yes,2
